site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840180890022,0,10,20141231T0100-0600,88101,60,0,9.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141231T0100-0600,88101,60,0,13.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141230T0100-0600,88101,60,0,9.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141230T0100-0600,88101,60,0,4.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141229T0100-0600,88101,60,0,18,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141229T0100-0600,88101,60,0,9.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141228T0100-0600,88101,60,0,14.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141228T0100-0600,88101,60,0,6.8,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141227T0100-0600,88101,60,0,5.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141227T0100-0600,88101,60,0,3.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141226T0100-0600,88101,60,0,4.5,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141226T0100-0600,88101,60,0,2.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141225T0100-0600,88101,60,0,4.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141225T0100-0600,88101,60,0,2.4,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141224T0100-0600,88101,60,0,11.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141224T0100-0600,88101,60,0,6.1,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141223T0100-0600,88101,60,0,19.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141223T0100-0600,88101,60,0,15.2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141222T0100-0600,88101,60,0,27.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141222T0100-0600,88101,60,0,24.2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141221T0100-0600,88101,60,0,25.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141221T0100-0600,88101,60,0,13.2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141220T0100-0600,88101,60,0,10.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141220T0100-0600,88101,60,0,3.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141219T0100-0600,88101,60,0,12.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141219T0100-0600,88101,60,0,13.9,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141218T0100-0600,88101,60,0,16,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141218T0100-0600,88101,60,0,12,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141217T0100-0600,88101,60,0,13.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141217T0100-0600,88101,60,0,1.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141216T0100-0600,88101,60,0,19.1,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141216T0100-0600,88101,60,0,17.9,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141215T0100-0600,88101,60,0,16.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141215T0100-0600,88101,60,0,11.9,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141214T0100-0600,88101,60,0,23.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141214T0100-0600,88101,60,0,16.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141213T0100-0600,88101,60,0,23.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141213T0100-0600,88101,60,0,15,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141212T0100-0600,88101,60,0,24.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141212T0100-0600,88101,60,0,22.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141211T0100-0600,88101,60,0,18.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141211T0100-0600,88101,60,0,5.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141210T0100-0600,88101,60,0,5.8,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141210T0100-0600,88101,60,0,1.7,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141209T0100-0600,88101,60,0,23.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141209T0100-0600,88101,60,0,3.6,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141208T0100-0600,88101,60,0,12.7,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141208T0100-0600,88101,60,0,5.9,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141207T0100-0600,88101,60,0,7.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141207T0100-0600,88101,60,0,7.3,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141206T0100-0600,88101,60,0,19.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141206T0100-0600,88101,60,0,22,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141205T0100-0600,88101,60,0,26.4,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141205T0100-0600,88101,60,0,15.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141204T0100-0600,88101,60,0,18.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141204T0100-0600,88101,60,0,12,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141203T0100-0600,88101,60,0,17.1,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141203T0100-0600,88101,60,0,16.2,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141202T0100-0600,88101,60,0,10.9,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840180890022,0,10,20141201T0100-0600,88101,60,0,15.2,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141201T0100-0600,88101,60,0,10,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141130T0100-0600,88101,60,0,13.6,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
840181270024,0,10,20141130T0100-0600,88101,60,0,11.5,105,0,3,41.617558,-87.199248,WGS84,183,170,1,2,,
840180890022,0,10,20141129T0100-0600,88101,60,0,15.3,105,0,3,41.60668,-87.304729,WGS84,183,170,1,2,,
