site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840170310076,0,10,20131231T0100-0600,61103,60,0,4.7,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131231T0100-0600,61103,60,0,6.9,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131231T0100-0600,61103,60,0,4.1,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131230T0100-0600,61103,60,0,9.6,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131230T0100-0600,61103,60,0,6.1,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131230T0100-0600,61103,60,0,4.7,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131229T0100-0600,61103,60,0,6.5,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131229T0100-0600,61103,60,0,8.9,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131229T0100-0600,61103,60,0,10.4,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310001,0,10,20131228T0100-0600,61103,60,0,7.1,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131228T0100-0600,61103,60,0,8.3,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131228T0100-0600,61103,60,0,9.5,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131227T0100-0600,61103,60,0,2.3,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131227T0100-0600,61103,60,0,4.3,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131227T0100-0600,61103,60,0,4.3,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310076,0,10,20131226T0100-0600,61103,60,0,6.9,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131226T0100-0600,61103,60,0,10.2,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131226T0100-0600,61103,60,0,13.5,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131225T0100-0600,61103,60,0,9.2,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131225T0100-0600,61103,60,0,6.5,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131224T0100-0600,61103,60,0,8.5,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310001,0,10,20131223T0100-0600,61103,60,0,6.4,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131223T0100-0600,61103,60,0,6.4,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131222T0100-0600,61103,60,0,8,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131222T0100-0600,61103,60,0,8.7,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131222T0100-0600,61103,60,0,4.9,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131221T0100-0600,61103,60,0,3.4,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131221T0100-0600,61103,60,0,3.1,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310076,0,10,20131221T0100-0600,61103,60,0,2.8,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310076,0,10,20131220T0100-0600,61103,60,0,1.4,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170313103,0,10,20131220T0100-0600,61103,60,0,3,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
840170310001,0,10,20131220T0100-0600,61103,60,0,.3,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170310076,0,10,20131219T0100-0600,61103,60,0,5.6,013,0,1,41.7514,-87.713488,WGS84,186,020,1,.1,,
840170310001,0,10,20131219T0100-0600,61103,60,0,7.1,013,0,1,41.670992,-87.732457,WGS84,188,020,1,.1,,
840170313103,0,10,20131219T0100-0600,61103,60,0,9.6,013,0,1,41.965193,-87.876265,WGS84,195,020,1,.1,,
